Participant	Start	End	Sentence
10.Orange.1	00:02.3	00:03.6	"All right."
10.Pink.1	00:03.8	00:06.5	"Uh, I found the most important thing to be the cigarette lighter."
10.Orange.2	00:06.5	00:08.9	"Mhm, something to make a fire first."
10.Pink.2	00:08.7	00:09.5	"Yeah exactly."
10.Pink.3	00:09.7	00:10.4	"Um."
10.Orange.3	00:11.3	00:14.2	"I-I did -- that was my number one as well."
10.Pink.4	00:12.5	00:13.6	"Yeah number one."
10.Pink.5	00:13.8	00:14.6	"Okay."
10.Orange.4	00:14.4	00:17.2	"And then I was trying to think of like anything that would help you make a fire."
10.Orange.5	00:17.2	00:18.7	"So like newspaper."
10.Pink.6	00:19.1	00:19.8	"Yeah."
10.Pink.7	00:19.8	00:23.2	"Uh, my, uh, well, number two is the ski polls actually."
10.Orange.6	00:23.2	00:24.0	"Okay."
10.Pink.8	00:23.2	00:28.1	"To a -- cause you can develop like tenting and all that and stick them into the ground."
10.Orange.7	00:27.9	00:28.7	"Okay."
10.Orange.8	00:29.1	00:30.2	"This is true."
10.Pink.9	00:29.2	00:39.2	"And I think with it, on top of that, if you ever tried to fashion some sort of backpack out of rope and other things, you could find the ski polls would help the person carrying the weight."
10.Orange.9	00:38.6	00:39.9	"That is true, yeah."
10.Orange.10	00:39.9	00:45.0	"I think that we -- like we need help making a fire first."
10.Pink.10	00:45.0	00:45.8	"Okay."
10.Orange.11	00:45.8	00:46.7	"Do you think?"
10.Orange.12	00:46.7	00:50.3	"Cause it's so cold and we're all going to freeze to death before anything happens I think."
10.Pink.11	00:51.0	00:51.4	"Fair enough."
10.Pink.12	00:51.4	00:53.2	"Then yeah number two I definitely."
10.Orange.13	00:51.7	00:53.5	"Do you think so?"
10.Orange.14	00:54.0	00:54.6	"Okay."
10.Pink.13	00:54.3	00:55.3	"Newspaper then."
10.Orange.15	00:55.2	00:57.3	"But I think you're right about the ski polls."
10.Pink.14	00:58.9	01:02.5	"And then for, uh, I mean the number three what do you want to put?"
10.Pink.15	01:02.5	01:03.1	"Ski polls?"
