Participant	Start	End	Sentence
14.Red.1	00:00.2	00:07.5	"Okay, so the first thing we would have to decide is whether or not we want to start walking to the nearest town or stay near the crash sight."
14.Red.2	00:07.7	00:11.7	"It says that the frame of the plane is still intact."
14.Red.3	00:11.7	00:15.7	"And it says that it's going to be negative twenty-five during the day and minus forty at night."
14.Red.4	00:16.1	00:28.6	"It's eighty miles through brush and trees separated by lakes and rivers which is, I don't know if you guys have hiked before, it's very hard to go through, especially hiking to a town where you don't know where the town is."
14.Red.5	00:29.3	00:37.5	"So, my suggestion would be stay near the crash sight until, uh, possible comes-comes for help or until you run out of the food."
14.Red.6	00:37.9	00:48.9	"Um, being that the -- being that the temperature is % is low as it is, uh, I think the frame would provide a good shelter."
14.Red.7	00:49.1	01:00.9	"Um, so I think the most important thing of all these items being that the temperature and what we're in, no matter what we decide what we want to do, that the extra pants and shirt for survival is crucial."
14.Blue.1	01:00.9	01:02.6	"I put that too for number one."
14.Red.8	01:02.9	01:04.3	"What did you guys put for number one?"
14.Yellow.1	01:04.4	01:08.0	"I put the compress kit cause if-what if someone's injured and then like --"
14.Red.9	01:07.9	01:13.3	"That's the ques-that's a question too because it wasn't in -- there was in-in the in all the writing they didn't say that anyone was injured."
14.Yellow.2	01:10.3	01:10.8	"Oh."
14.Red.10	01:13.3	01:16.6	"So, it would be kind of thing whether somebody would get injured."
14.Yellow.3	01:14.5	01:15.7	"[unclear]"
14.Blue.2	01:16.7	01:18.0	"What is the compress kit?"
14.Red.11	01:18.1	01:22.1	"It's like, uh, gauze and, uh, bandages and stuff like that."
14.Blue.3	01:21.3	01:22.7	"Oh okay, like a first aid."
14.Red.12	01:22.7	01:24.1	"Yeah, like a small first aid kit."
14.Red.13	01:25.9	01:27.2	"Um, I guess --"
14.Blue.4	01:26.7	01:30.7	"So, I feel like warmth and food are the most important things in this situation."
14.Red.14	01:30.7	01:34.0	"That's what I think cause either way you're walking or whether you're staying, you need warmth and food."
14.Blue.5	01:31.3	01:31.8	"So."
14.Blue.6	01:33.0	01:33.4	"Yeah."
14.Blue.7	01:33.7	01:34.2	"Yeah."
14.Blue.8	01:34.4	01:39.6	"So, like I put shirts and pants for first and then the chocolate bar for second cause it was the only food we have."
14.Red.15	01:37.1	01:37.8	"%"
14.Yellow.4	01:38.2	01:39.2	"Hm, mhm."
14.Red.16	01:40.1	01:43.1	"Well, that's where you could, uh, put into a discussion."
14.Red.17	01:43.1	01:46.1	"Is the chocolate bar is the most important food you have."
14.Red.18	01:46.1	01:48.5	"But you also have a loaded gun."
14.Yellow.5	01:48.3	01:48.8	"Yeah."
14.Red.19	01:48.6	01:57.2	"And if you're able to make fire and you're in the bush, there's lots of, r-uh, squirrels, rabbits, animals that are around you could kill for food."
14.Red.20	01:57.4	02:02.7	"A chocolate bar each is only gonna last us for nutritional wise, it's only gonna last us a day."
14.Yellow.6	02:02.7	02:03.5	"Yeah that's true."
14.Red.21	02:03.5	02:14.2	"So, the shortening is actually more important for food cause it's fat is better, um, for your metabolism for energy than, uh, the chocolate the-the simple sugars in the chocolate."
14.Red.22	02:14.4	02:20.7	"Um, but I guess -- I guess it comes to decision, what do you guys think we should do?"
14.Red.23	02:20.7	02:32.4	"Would you rather walk to the closest city or would you rather, um, stay near the crash site until, uh, few days have gone by to see whether or not, um, people are coming to help?"
