Participant	Start	End	Sentence
3.Green.1	00:00.2	00:03.5	"I said that the most important thing was the cigarette lighter."
3.Green.2	00:03.5	00:06.3	"Because the most important thing probably is to stay warm."
3.Pink.1	00:06.5	00:07.6	"It has no fluid."
3.Green.3	00:07.6	00:11.7	"Yeah, well, you can use it still with the flint to start a fire."
3.Green.4	00:12.3	00:15.4	"So, if you can get wood together then."
3.Pink.2	00:13.2	00:13.7	"Okay."
3.Green.5	00:15.5	00:16.3	"What about you?"
3.Pink.3	00:16.5	00:19.2	"I did, uh, flashlight and batteries."
3.Green.6	00:19.2	00:19.9	"Okay."
3.Pink.4	00:19.9	00:21.8	"Because I'm a chicken, so."
3.Green.7	00:20.9	00:21.4	"Mhm."
3.Green.8	00:21.5	00:22.2	"Yeah."
3.Pink.5	00:22.2	00:22.8	"Yeah."
3.Green.9	00:23.5	00:24.1	"Okay."
3.Green.10	00:24.1	00:26.1	"I put that one as number five."
3.Green.11	00:26.9	00:36.4	"Mainly cause like if you have a fire going like I'm not sure if it would be -- I guess it would be better to move at night cause you'd stay warmer then cause that's when it's colder."
3.Pink.6	00:30.5	00:31.3	"Yep."
3.Pink.7	00:34.9	00:35.5	"Mhm."
3.Pink.8	00:36.0	00:36.8	"Mhm."
3.Green.12	00:36.7	00:43.1	"But if you have a fire going then you could probably just sleep at night and you wouldn't need the flashlight, but."
3.Pink.9	00:42.4	00:43.0	"Mhm."
3.Pink.10	00:43.5	00:47.9	"I obviously don't know much about lighters because I wasn't even thinking about the flint."
3.Green.13	00:47.7	00:48.2	"$"
3.Pink.11	00:47.9	00:50.8	"So that was my fourteenth choice $."
3.Green.14	00:49.7	00:50.3	"Mhm."
3.Pink.12	00:50.9	00:53.4	"But I agree with you with the cigarette lighter."
3.Pink.13	00:53.4	00:55.5	"If you can use that for fire then yeah."
3.Green.15	00:54.5	00:55.0	"Mhm."
3.Pink.14	00:55.5	00:58.9	"Kinda changes everything that I put actually."
3.Green.16	00:57.5	00:58.2	"Mhm."
3.Pink.15	00:59.0	01:03.1	"So, um, so you want us to mark on here, okay?"
3.Pink.16	01:03.7	01:05.2	"So."
3.Pink.17	01:06.1	01:08.9	"Okay, so, then your second choice?"
3.Green.17	01:09.0	01:11.1	"Um, I said the knife."
3.Pink.18	01:12.0	01:17.2	"I did extra shirts and pants just so it was another layer on your body."
3.Green.18	01:13.8	01:14.7	"Okay."
3.Green.19	01:15.5	01:17.3	"Mhm yeah."
3.Pink.19	01:18.0	01:18.8	"Um."
3.Green.20	01:20.8	01:22.0	"Okay."
3.Pink.20	01:23.4	01:23.9	"Hm."
3.Green.21	01:24.0	01:30.3	"For me like my reasoning was like I kinda listed everything in order of stuff you could possibly build a fire with."
3.Pink.21	01:29.8	01:30.4	"Mhm."
3.Green.22	01:30.3	01:32.7	"And then after that I moved onto stuff like that."
3.Green.23	01:32.7	01:34.5	"So that one's lower on my list."
3.Pink.22	01:34.4	01:35.1	"Mhm."
3.Green.24	01:34.5	01:39.7	"Like it's still important cause like you wanna change your layers so you aren't cold if you get sweaty."
3.Pink.23	01:38.4	01:40.3	"No totally agree."
3.Pink.24	01:40.3	01:47.3	"Just because with mine, I had it backwards because I was -- no I didn't have a fire at that point $ so."
3.Green.25	01:42.4	01:43.1	"Mhm."
3.Green.26	01:46.4	01:47.2	"Yeah."
3.Pink.25	01:47.7	01:48.6	"Yeah."
3.Pink.26	01:49.1	01:51.4	"Okay so."
3.Green.27	01:53.6	01:56.7	"What do you think, do you think that's?"
3.Pink.27	01:54.6	02:01.7	"No cause the knife is, well, even if there's animals or whatever, it's-it's some sort of protection right."
3.Green.28	01:59.5	02:00.2	"Mhm."
3.Green.29	02:00.9	02:01.6	"Mhm."
3.Pink.28	02:02.9	02:15.5	"Um, okay, third I put compass, but it would probably be better to have like either newspaper or rope or something because it's a dual purpose if you can light it and you can --"
3.Green.30	02:12.5	02:13.3	"Mhm."
3.Green.31	02:15.5	02:19.1	"Yeah, well, I -- for me, for number three, I put the map."
3.Pink.29	02:19.0	02:19.8	"Mhm."
3.Green.32	02:19.5	02:22.9	"So -- cause -- and then after that I put the compass."
3.Pink.30	02:22.1	02:22.6	"Mhm."
3.Green.33	02:23.0	02:29.0	"Cause then those like -- cause like the compass -- I guess it's kind of useful but it's more useful if you have the map first."
3.Pink.31	02:28.8	02:29.3	"Mhm."
3.Green.34	02:29.5	02:30.2	"So."
3.Green.35	02:31.2	02:36.2	"But, yeah, now I'm thinking like maybe I should list like everything that you could use to make a first first."
3.Pink.32	02:36.0	02:36.6	"Mhm."
3.Green.36	02:37.3	02:42.2	"Cause like the whiskey you could use to start a fire with if you have a lighter or something."
3.Pink.33	02:42.0	02:42.8	"Mhm."
3.Green.37	02:42.9	02:46.2	"And the flashlight and the steel wool you could start a fire with."
3.Green.38	02:46.2	02:50.1	"Cause like if you put batteries on steel wool it like creates a fire."
3.Pink.34	02:50.1	02:54.5	"I'm gonna die if I ever crash $."
3.Green.39	02:51.6	02:53.7	"$"
3.Pink.35	02:54.5	02:56.0	"I'm taking you with me."
3.Pink.36	02:56.2	02:59.0	"Okay, so what do you want to put for number three?"
3.Green.40	02:59.0	03:00.2	"Um, I don't know."
3.Green.41	03:00.3	03:00.9	"What do you think?"
